Species,StockVersion,StockID,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName,StockGroup
COHO,1,73,5,13,U-mintch,Minter Creek Hatchery UnMarked,South Puget Sound
COHO,1,74,5,14,M-mintch,Minter Creek Hatchery Marked,South Puget Sound
COHO,1,75,5,15,U-ar13mw,Area 13 Miscellaneous Wild UnMarked,South Puget Sound
COHO,1,76,5,16,M-ar13mw,Area 13 Miscellaneous Wild Marked,South Puget Sound
COHO,1,77,5,17,U-chambh,Chambers Creek Hatchery UnMarked,South Puget Sound
COHO,1,78,5,18,M-chambh,Chambers Creek Hatchery Marked,South Puget Sound
COHO,1,79,5,19,U-ar13mh,Area 13 Miscellaneous Hatchery UnMarked,South Puget Sound
COHO,1,80,5,20,M-ar13mh,Area 13 Miscellaneous Hatchery Marked,South Puget Sound
COHO,1,81,5,21,U-ar13aw,Area 13A Miscellaneous Wild UnMarked,South Puget Sound
COHO,1,82,5,22,M-ar13aw,Area 13A Miscellaneous Wild Marked,South Puget Sound
COHO,1,83,5,23,U-puyalh,Puyallup River Hatchery UnMarked,Mid Puget Sound
COHO,1,84,5,24,M-puyalh,Puyallup River Hatchery Marked,Mid Puget Sound
COHO,1,85,5,25,U-puyalw,Puyallup River Wild UnMarked,Mid Puget Sound
COHO,1,86,5,26,M-puyalw,Puyallup River Wild Marked,Mid Puget Sound
COHO,1,87,5,27,U-are11h,Area 11 Hatchery UnMarked,Mid Puget Sound
COHO,1,88,5,28,M-are11h,Area 11 Hatchery Marked,Mid Puget Sound
COHO,1,89,5,29,U-ar11mw,Area 11 Miscellaneous Wild UnMarked,Mid Puget Sound
COHO,1,90,5,30,M-ar11mw,Area 11 Miscellaneous Wild Marked,Mid Puget Sound
COHO,1,91,5,31,U-ar10eh,Area 10E Hatchery UnMarked,Mid Puget Sound
COHO,1,92,5,32,M-ar10eh,Area 10E Hatchery Marked,Mid Puget Sound
COHO,1,93,5,33,U-ar10ew,Area 10E Miscellaneous Wild UnMarked,Mid Puget Sound
COHO,1,94,5,34,M-ar10ew,Area 10E Miscellaneous Wild Marked,Mid Puget Sound
COHO,1,95,5,35,U-greenh,Green River Hatchery UnMarked,Mid Puget Sound
COHO,1,96,5,36,M-greenh,Green River Hatchery Marked,Mid Puget Sound
COHO,1,97,5,37,U-greenw,Green River Wild UnMarked,Mid Puget Sound
COHO,1,98,5,38,M-greenw,Green River Wild Marked,Mid Puget Sound
COHO,1,99,5,39,U-lakwah,Lake Washington Hatchery UnMarked,Mid Puget Sound
COHO,1,100,5,40,M-lakwah,Lake Washington Hatchery Marked,Mid Puget Sound
COHO,1,101,5,41,U-lakwaw,Lake Washington Wild UnMarked,Mid Puget Sound
COHO,1,102,5,42,M-lakwaw,Lake Washington Wild Marked,Mid Puget Sound
COHO,1,103,5,43,U-are10h,Area 10 Hatchery UnMarked,Mid Puget Sound
COHO,1,104,5,44,M-are10h,Area 10 Hatchery Marked,Mid Puget Sound
COHO,1,105,5,45,U-ar10mw,Area 10 Miscellaneous Wild UnMarked,Mid Puget Sound
COHO,1,106,5,46,M-ar10mw,Area 10 Miscellaneous Wild Marked,Mid Puget Sound
COHO,1,107,6,1,U-dungew,Dungeness River Wild UnMarked,Strait of Juan de Fuca
COHO,1,108,6,2,M-dungew,Dungeness River Wild Marked,Strait of Juan de Fuca
COHO,1,109,6,3,U-dungeh,Dungeness Hatchery UnMarked,Strait of Juan de Fuca
COHO,1,110,6,4,M-dungeh,Dungeness Hatchery Marked,Strait of Juan de Fuca
COHO,1,111,6,5,U-elwhaw,Elwha River Wild UnMarked,Strait of Juan de Fuca
COHO,1,112,6,6,M-elwhaw,Elwha River Wild Marked,Strait of Juan de Fuca
COHO,1,113,6,7,U-elwhah,Elwha Hatchery UnMarked,Strait of Juan de Fuca
COHO,1,114,6,8,M-elwhah,Elwha Hatchery Marked,Strait of Juan de Fuca
COHO,1,115,6,9,U-ejdfmw,East JDF Miscellaneous Wild UnMarked,Strait of Juan de Fuca
COHO,1,116,6,10,M-ejdfmw,East JDF Miscellaneous Wild Marked,Strait of Juan de Fuca
COHO,1,117,6,11,U-wjdfmw,West JDF Miscellaneous Wild UnMarked,Strait of Juan de Fuca
COHO,1,118,6,12,M-wjdfmw,West JDF Miscellaneous Wild Marked,Strait of Juan de Fuca
COHO,1,119,6,13,U-hokoh,Hoko Hatchery UnMarked,Strait of Juan de Fuca
COHO,1,120,6,14,M-hokoh,Hoko Hatchery Marked,Strait of Juan de Fuca
COHO,1,121,6,15,U-area9w,Area 9 Miscellaneous Wild UnMarked,Strait of Juan de Fuca
COHO,1,122,6,16,M-area9w,Area 9 Miscellaneous Wild Marked,Strait of Juan de Fuca
COHO,1,123,7,1,U-makahw,Makah Coastal Wild UnMarked,Washington North Coast
COHO,1,124,7,2,M-makahw,Makah Coastal Wild Marked,Washington North Coast
COHO,1,125,7,3,U-makahh,Makah Coastal Hatchery UnMarked,Washington North Coast
COHO,1,126,7,4,M-makahh,Makah Coastal Hatchery Marked,Washington North Coast
COHO,1,127,8,1,U-quilsw,Quillayute River Summer Natural UnMarked,Washington North Coast
COHO,1,128,8,2,M-quilsw,Quillayute River Summer Natural Marked,Washington North Coast
COHO,1,129,8,3,U-quilsh,Quillayute River Summer Hatchery UnMarked,Washington North Coast
COHO,1,130,8,4,M-quilsh,Quillayute River Summer Hatchery Marked,Washington North Coast
COHO,1,131,8,5,U-quilfw,Quillayute River Fall Natural UnMarked,Washington North Coast
COHO,1,132,8,6,M-quilfw,Quillayute River Fall Natural Marked,Washington North Coast
COHO,1,133,8,7,U-quilfh,Quillayute River Fall Hatchery UnMarked,Washington North Coast
COHO,1,134,8,8,M-quilfh,Quillayute River Fall Hatchery Marked,Washington North Coast
COHO,1,135,9,1,U-hohrvw,Hoh River Wild UnMarked,Washington North Coast
COHO,1,136,9,2,M-hohrvw,Hoh River Wild Marked,Washington North Coast
COHO,1,137,9,3,U-hohrvh,Hoh River Hatchery UnMarked,Washington North Coast
COHO,1,138,9,4,M-hohrvh,Hoh River Hatchery Marked,Washington North Coast
COHO,1,139,10,1,U-quetfw,Queets River Fall Natural UnMarked,Washington North Coast
COHO,1,140,10,2,M-quetfw,Queets River Fall Natural Marked,Washington North Coast
COHO,1,141,10,3,U-quetfh,Queets River Fall Hatchery UnMarked,Washington North Coast
COHO,1,142,10,4,M-quetfh,Queets River Fall Hatchery Marked,Washington North Coast
COHO,1,143,10,5,U-quetph,Queets River Suppl. Hatchery UnMarked,Washington North Coast
COHO,1,144,10,6,M-quetph,Queets River Suppl. Hatchery Marked,Washington North Coast
COHO,1,145,11,1,U-quinfw,Quinault River Fall Natural UnMarked,Washington North Coast
COHO,1,146,11,2,M-quinfw,Quinault River Fall Natural Marked,Washington North Coast
COHO,1,147,11,3,U-quinfh,Quinault River Fall Hatchery UnMarked,Washington North Coast
COHO,1,148,11,4,M-quinfh,Quinault River Fall Hatchery Marked,Washington North Coast
COHO,1,149,12,1,U-chehlw,Chehalis River Wild UnMarked,Grays Harbor
COHO,1,150,12,2,M-chehlw,Chehalis River Wild Marked,Grays Harbor
