Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,4,9,4,5,49,Quilcene Bay Net Pens UnMarked,U-qlcenh,25,,Quilcene Bay Net Pens,Hatchery,D,
COHO,1,4,10,4,5,50,Quilcene Bay Net Pens Marked,M-qlcenh,25,,Quilcene Bay Net Pens,Hatchery,D,
COHO,1,4,11,4,6,51,Area 12A Wild UnMarked,U-ar12aw,26,6,Area 12A Wild,Wild,D,
COHO,1,4,12,4,6,52,Area 12A Wild Marked,M-ar12aw,26,6,Area 12A Wild,Wild,D,
COHO,1,4,13,4,7,53,Hoodsport Hatchery UnMarked,U-hoodsh,27,,Hoodsport Hatchery,Hatchery,D,
COHO,1,4,14,4,7,54,Hoodsport Hatchery Marked,M-hoodsh,27,,Hoodsport Hatchery,Hatchery,D,
COHO,1,4,15,4,8,55,Area 12C/12D Wild UnMarked,U-ar12dw,28,6,Area 12C-12D Wild,Wild,D,Hood Canal
COHO,1,4,16,4,8,56,Area 12C/12D Wild Marked,M-ar12dw,28,6,Area 12C-12D Wild,Wild,D,Hood Canal
COHO,1,4,17,4,9,57,George Adams Hatchery UnMarked,U-gadamh,29,,George Adams Hatchery,Hatchery,D,
COHO,1,4,18,4,9,58,George Adams Hatchery Marked,M-gadamh,29,,George Adams Hatchery,Hatchery,D,
COHO,1,4,19,4,10,59,Skokomish River Wild UnMarked,U-skokrw,30,6,Skokomish River Wild,Wild,D,Hood Canal
COHO,1,4,20,4,10,60,Skokomish River Wild Marked,M-skokrw,30,6,Skokomish River Wild,Wild,D,Hood Canal
COHO,1,5,1,5,1,61,Area 13B Miscellaneous Wild UnMarked,U-ar13bw,31,7,Area 13B Miscellaneous Wild,Wild,E,
COHO,1,5,2,5,1,62,Area 13B Miscellaneous Wild Marked,M-ar13bw,31,7,Area 13B Miscellaneous Wild,Wild,E,
COHO,1,5,3,5,2,63,Deschutes River (WA) Wild UnMarked,U-deschw,32,8,Deschutes River (WA) Wild,Wild,E,
COHO,1,5,4,5,2,64,Deschutes River (WA) Wild Marked,M-deschw,32,8,Deschutes River (WA) Wild,Wild,E,
COHO,1,5,5,5,3,65,South Puget Sound Net Pens UnMarked,U-ssdnph,33,,South Puget Sound Net Pens,Hatchery,E,
COHO,1,5,6,5,3,66,South Puget Sound Net Pens Marked,M-ssdnph,33,,South Puget Sound Net Pens,Hatchery,E,
COHO,1,5,7,5,4,67,Nisqually River Hatchery UnMarked,U-nisqlh,34,,Nisqually River Hatchery,Hatchery,E,
COHO,1,5,8,5,4,68,Nisqually River Hatchery Marked,M-nisqlh,34,,Nisqually River Hatchery,Hatchery,E,
COHO,1,5,9,5,5,69,Nisqually River Wild UnMarked,U-nisqlw,35,9,Nisqually River Wild,Wild,E,
