Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,17,1,17,1,205,Georgia Strait Mainland Hatchery UnMarked,U-gsmndh,103,,Georgia Strait Mainland Hatchery,Hatchery,Q,
COHO,1,17,2,17,1,206,Georgia Strait Mainland Hatchery Marked,M-gsmndh,103,,Georgia Strait Mainland Hatchery,Hatchery,Q,
COHO,1,17,3,17,2,207,Georgia Strait Mainland Wild UnMarked,U-gsmndw,104,,Georgia Strait Mainland Wild,Wild,Q,Strait of Georgia
COHO,1,17,4,17,2,208,Georgia Strait Mainland Wild Marked,M-gsmndw,104,,Georgia Strait Mainland Wild,Wild,Q,Strait of Georgia
COHO,1,18,1,18,1,209,Georgia Strait Vanc. Isl. Hatchery UnMarked,U-gsvcih,105,,Georgia Strait Vanc. Isl. Hatchery,Hatchery,Q,
COHO,1,18,2,18,1,210,Georgia Strait Vanc. Isl. Hatchery Marked,M-gsvcih,105,,Georgia Strait Vanc. Isl. Hatchery,Hatchery,Q,
COHO,1,18,3,18,2,211,Georgia Strait Vanc. Isl. Wild UnMarked,U-gsvciw,106,22,Georgia Strait Vanc. Isl. Wild,Wild,Q,Strait of Georgia
COHO,1,18,4,18,2,212,Georgia Strait Vanc. Isl. Wild Marked,M-gsvciw,106,22,Georgia Strait Vanc. Isl. Wild,Wild,Q,Strait of Georgia
COHO,1,19,1,19,1,213,Johnstone Strait Hatchery UnMarked,U-jnstrh,107,,Johnstone Strait Hatchery,Hatchery,Q,
COHO,1,19,2,19,1,214,Johnstone Strait Hatchery Marked,M-jnstrh,107,,Johnstone Strait Hatchery,Hatchery,Q,
COHO,1,19,3,19,2,215,Johnstone Strait Wild UnMarked,U-jnstrw,108,,Johnstone Strait Wild,Wild,Q,
COHO,1,19,4,19,2,216,Johnstone Strait Wild Marked,M-jnstrw,108,,Johnstone Strait Wild,Wild,Q,
COHO,1,20,1,20,1,217,SW Vancouver Island Hatchery UnMarked,U-swvcih,109,,SW Vancouver Island Hatchery,Hatchery,Q,
COHO,1,20,2,20,1,218,SW Vancouver Island Hatchery Marked,M-swvcih,109,,SW Vancouver Island Hatchery,Hatchery,Q,
COHO,1,20,3,20,2,219,SW Vancouver Island Wild UnMarked,U-swvciw,110,,SW Vancouver Island Wild,Wild,Q,
COHO,1,20,4,20,2,220,SW Vancouver Island Wild Marked,M-swvciw,110,,SW Vancouver Island Wild,Wild,Q,
COHO,1,21,1,21,1,221,NW Vancouver Island Hatchery UnMarked,U-nwvcih,111,,NW Vancouver Island Hatchery,Hatchery,Q,
COHO,1,21,2,21,1,222,NW Vancouver Island Hatchery Marked,M-nwvcih,111,,NW Vancouver Island Hatchery,Hatchery,Q,
COHO,1,21,3,21,2,223,NW Vancouver Island Wild UnMarked,U-nwvciw,112,,NW Vancouver Island Wild,Wild,Q,
COHO,1,21,4,21,2,224,NW Vancouver Island Wild Marked,M-nwvciw,112,,NW Vancouver Island Wild,Wild,Q,
COHO,1,22,1,22,1,225,Lower Fraser River Hatchery UnMarked,U-frslwh,113,,Lower Fraser River Hatchery,Hatchery,Q,
COHO,1,22,2,22,1,226,Lower Fraser River Hatchery Marked,M-frslwh,113,,Lower Fraser River Hatchery,Hatchery,Q,
COHO,1,22,3,22,2,227,Lower Fraser River Wild UnMarked,U-frslww,114,,Lower Fraser River Wild,Wild,Q,Lower Fraser Coho
COHO,1,22,4,22,2,228,Lower Fraser River Wild Marked,M-frslww,114,,Lower Fraser River Wild,Wild,Q,Lower Fraser Coho
COHO,1,23,1,23,1,229,Upper Fraser River Hatchery UnMarked,U-frsuph,115,,Upper Fraser River Hatchery,Hatchery,Q,
COHO,1,23,2,23,1,230,Upper Fraser River Hatchery Marked,M-frsuph,115,,Upper Fraser River Hatchery,Hatchery,Q,
COHO,1,23,3,23,2,231,Upper Fraser River Wild UnMarked,U-frsupw,116,,Upper Fraser River Wild,Wild,Q,Interior Fraser Coho
COHO,1,23,4,23,2,232,Upper Fraser River Wild Marked,M-frsupw,116,,Upper Fraser River Wild,Wild,Q,Interior Fraser Coho
COHO,1,25,1,24,1,233,BC Central Coast Hatchery/Wild UnMarked,U-bccnhw,117,,BC Central Coast Hatchery-Wild,Mix,Q,
COHO,1,25,2,24,1,234,BC Central Coast Hatchery/Wild Marked,M-bccnhw,117,,BC Central Coast Hatchery-Wild,Mix,Q,
COHO,1,26,1,24,1,235,BC North Coast Hatchery/Wild UnMarked,U-bcnchw,118,,BC North Coast Hatchery-Wild,Mix,Q,
COHO,1,26,2,24,1,236,BC North Coast Hatchery/Wild Marked,M-bcnchw,118,,BC North Coast Hatchery-Wild,Mix,Q,
COHO,1,30,1,25,1,237,Trans Boundary Hatchery/Wild UnMarked,U-tranhw,119,,Trans Boundary Hatchery-Wild,Mix,R,
COHO,1,30,2,26,1,238,Trans Boundary Hatchery/Wild Marked,M-tranhw,119,,Trans Boundary Hatchery-Wild,Mix,R,
COHO,1,31,1,27,1,239,Alaska Northern Inside Hat/Wild UnMarked,U-niakhw,120,,Alaska Northern Inside Hat-Wild,Mix,R,
COHO,1,31,2,28,1,240,Alaska Northern Inside Hat/Wild Marked,M-niakhw,120,,Alaska Northern Inside Hat-Wild,Mix,R,
COHO,1,32,1,29,1,241,Alaska Northern Outside Hat/Wild UnMarked,U-noakhw,121,,Alaska Northern Outside Hat-Wild,Mix,R,
COHO,1,32,2,30,1,242,Alaska Northern Outside Hat/Wild Marked,M-noakhw,121,,Alaska Northern Outside Hat-Wild,Mix,R,
COHO,1,33,1,31,1,243,Alaska Southern Inside Hat/Wild UnMarked,U-siakhw,122,,Alaska Southern Inside Hat-Wild,Mix,R,
COHO,1,33,2,32,1,244,Alaska Southern Inside Hat/Wild Marked,M-siakhw,122,,Alaska Southern Inside Hat-Wild,Mix,R,
COHO,1,34,1,33,1,245,Alaska Southern Outside Hat/Wild UnMarked,U-soakhw,123,,Alaska Southern Outside Hat-Wild,Mix,R,
COHO,1,34,2,34,1,246,Alaska Southern Outside Hat/Wild Marked,M-soakhw,123,,Alaska Southern Outside Hat-Wild,Mix,R,
